Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_A001_001,SE_A002_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_NV001_001,SE_NV001_002,SE_NV001_003,SE_NV002_001,SE_NV002_002,SE_NV002_003
"24","Maryland","Maryland",5976407,177085,26387,150698,2963.06794366582,441.519461442301,2521.54848222352,26387,364,1149,9640,15233,441.519461442301,6.0906159838177,19.2255982566114,161.300928802205,254.885585938173,150698,28173,109384,13131,2521.54848222352,471.403637670594,1830.26356806021,219.713951877775,1003,16.7826588784867,43649,11085,32565,35202,8993,26206,8446,2089,6357,730.35521175181,185.479335661042,544.892608552262,589.016109511953,150.475026215584,438.490885911887,141.322369778363,34.9541120609758,106.368257717388
"25","Massachusetts","Massachusetts",6745408,148953,26059,122894,2208.21335047487,386.322072734518,1821.89127774035,26059,132,2010,5999,17916,386.322072734518,1.95688681841039,29.79804928034,88.9345759366965,265.602910898792,122894,24411,90324,8162,1821.89127774035,361.890637304667,1339.04428019773,121.000834938376,481,7.13077696708635,30482,11014,19467,27807,9949,17857,2677,1066,1608,451.892606051406,163.281450136152,288.596331015114,412.235998178316,147.492931487614,264.728241790563,39.6862576733683,15.8033435486779,23.838439424272
"26","Michigan","Michigan",9909877,242735,42251,200484,2449.42495249941,426.352415877614,2023.0725366218,42251,544,6258,8010,27437,426.352415877614,5.48947277549459,63.1491188033918,80.828450242117,276.865192171406,200484,43997,135355,21129,2023.0725366218,443.971201660727,1365.85953589535,213.211526237914,1702,17.1747843086246,41837,11800,30033,35272,10567,24703,6566,1229,5334,422.174765640381,119.073122703743,303.06127916623,355.927727458171,106.630990475462,249.276555097505,66.2571291248115,12.4017684578729,53.8250878391326
"27","Minnesota","Minnesota",5457173,137533,12485,125048,2520.22429928463,228.781458824926,2291.4428404597,12485,88,1997,3683,6717,228.781458824926,1.61255653797305,36.5940387083202,67.4891560153948,123.085707563238,125048,20719,95977,8352,2291.4428404597,379.665442162086,1758.73112323908,153.046275058533,640,11.7276839125313,33246,5567,27680,26879,4657,22223,6367,910,5456,609.216530243773,102.012525532909,507.222329216977,492.5443998202,85.3372249697783,407.225499356535,116.672130423573,16.6753005631304,99.9785053543291
"28","Mississippi","Mississippi",2994079,64764,5482,59282,2163.06917753339,183.094701242018,1979.97447629137,5482,181,551,1825,2923,183.094701242018,6.04526467070508,18.4029880307099,60.9536354919159,97.6260145440384,59282,15584,40427,3270,1979.97447629137,520.493948222475,1350.23157371599,109.215555100584,514,17.1672156947095,22181,3293,18895,19376,3065,16311,2808,219,2591,740.828815806129,109.983737904043,631.078872668356,647.143913036363,102.368708374094,544.775204662268,93.7851005267396,7.31443625902991,86.5374627723584
"29","Missouri","Missouri",6063589,203233,26866,176367,3351.69484607219,443.070927135728,2908.62391893646,26866,404,2401,5589,18468,443.070927135728,6.66272070880794,39.597010945168,92.1731337661573,304.572094183824,176367,35283,124708,16370,2908.62391893646,581.883105863541,2056.669738005,269.972123770262,1404,23.1546036514018,49213,9749,39459,42594,8680,33916,6617,1062,5546,811.615035253874,160.779366807348,650.753209031813,702.455262056845,143.149543941715,559.338701881015,109.126789431144,17.5143796850347,91.4639827996258
"30","Montana","Montana",1023579,28319,3260,25059,2766.66481043476,318.490316819708,2448.17449361505,3260,38,522,200,2500,318.490316819708,3.71246381568985,50.9975292576342,19.5392832404729,244.241040505911,25059,3565,19473,2021,2448.17449361505,348.287723761429,1902.44231270864,197.444457144979,132,12.8959269387121,6012,996,5016,4846,916,3929,1166,79,1086,587.350854208615,97.305630537555,490.04522367106,473.436832916658,89.4899172413658,383.84921925909,113.914021291957,7.71801687998679,106.098307995768
"31","Nebraska","Nebraska",1881503,51091,4922,46169,2715.43547897612,261.599370290667,2453.83610868545,4922,52,694,1037,3140,261.599370290667,2.76374791855235,36.8854049129871,55.1155113757459,166.887855081815,46169,7660,34051,4454,2453.83610868545,407.121328002134,1809.77654566589,236.725639023695,163,8.66328674469294,13175,2219,10956,9697,1976,7722,3476,243,3232,700.238054363985,117.937627524378,582.300426839606,515.385837811579,105.022420904989,410.416565905024,184.745918555538,12.9152066193889,171.777562937715
"32","Nevada","Nevada",2839099,92536,18031,74505,3259.34389748297,635.095852592671,2624.2480448903,18031,170,1354,5953,10554,635.095852592671,5.98781514839743,47.6911865348831,209.679197520058,371.737653389332,74505,21903,42423,10179,2624.2480448903,771.477148207935,1494.24165906155,358.529237620809,332,11.6938507603997,21487,7827,13660,18420,6958,11462,3067,869,2198,756.824612315386,275.686053920628,481.138558394758,648.797382549886,245.077751779702,403.719630770184,108.0272297655,30.6083021409257,77.4189276245739
"33","New Hampshire","New Hampshire",1326813,27154,2496,24658,2046.55818114535,188.119953603108,1858.43822754224,2496,16,553,526,1401,188.119953603108,1.20589713848146,41.6788198487654,39.643868427578,105.591368188283,24658,3958,19884,814,1858.43822754224,298.308804631851,1498.62866884783,61.3500169202442,180,13.5663428079164,6427,930,5497,5666,827,4836,762,101,659,484.393806813771,70.0927711742348,414.301035639536,427.038324164747,62.3298083452604,364.482410106021,57.4308512201795,7.61222568666421,49.6678883912051
"34","New Jersey","New Jersey",8938175,177916,22992,154924,1990.51819862556,257.233719411401,1733.28447921416,22992,352,951,10501,11185,257.233719411401,3.93816411068255,10.639755878577,117.484833313288,125.137402210183,154924,31702,111516,11702,1733.28447921416,354.680905218347,1247.63724138317,130.921580747748,662,7.40643363997684,41797,10632,31168,36532,9023,27509,5268,1609,3658,467.623424244882,118.950456888571,348.706531254982,408.718782077997,100.949019234911,307.769762843086,58.9382060655559,18.0014376536597,40.9255804456726
"35","New Mexico","New Mexico",2085572,85229,11955,73274,4086.60070234928,573.224036379468,3513.37666596982,11955,98,1065,2075,8710,573.224036379468,4.6989506955406,51.0651274566402,99.4930887065994,417.631230185292,73274,18312,48713,6249,3513.37666596982,878.032501395301,2335.71413501907,299.630029555441,411,19.7068238353795,17456,4528,12928,15390,4222,11172,2058,305,1752,836.988605524048,217.11070152457,619.877903999478,737.927053105815,202.438467720127,535.680379291628,98.6779646063526,14.624285327958,84.0057308019095
"36","New York","New York",19746227,414346,75865,338481,2098.35529592565,384.199979064355,1714.15531686129,75865,617,5967,24020,45256,384.199979064355,3.12464755925271,30.2184310957227,121.643491690843,229.188087425512,338481,50640,272098,15735,1714.15531686129,256.45405575455,1377.97463788905,79.6861091488516,1086,5.49978484497317,70149,12922,57219,61557,11127,50426,8588,1795,6791,355.252676878474,65.4403496931338,289.771813116501,311.740566944764,56.3500054972527,255.370304413091,43.4918528992906,9.09034419588107,34.3913801861996
"37","North Carolina","North Carolina",9943964,309947,31334,278613,3116.93606292219,315.105726448728,2801.83033647346,31334,498,1712,8232,20887,315.105726448728,5.00806318285143,17.2164742350234,82.7838877936404,210.047019478349,278613,77573,187755,13281,2801.83033647346,780.101376070951,1888.13032710094,133.558407894477,1544,15.527007137194,85001,18425,66574,75359,16868,58491,9638,1554,8083,854.799957039265,185.28828141373,669.49156292199,757.836613245985,169.63054170349,588.206071542495,96.9231183861888,15.6275706549219,81.2854913794941
"38","North Dakota","North Dakota",739482,17839,1998,15841,2412.36433070717,270.189132392675,2142.1751983145,1998,23,382,175,1418,270.189132392675,3.11028530782358,51.65778206907,23.6652142986577,191.755850717124,15841,2747,11551,1542,2142.1751983145,371.47624959093,1562.0393735074,208.524345420172,204,27.5868783824353,3796,627,3169,3092,580,2511,703,47,656,513.332305586884,84.7890820871908,428.543223499693,418.130529208284,78.4332816755513,339.56201773674,95.0665465826078,6.3558004116395,88.7107461709683
"39","Ohio","Ohio",11594163,322265,31349,290916,2779.54519010989,270.386055466013,2509.15913464387,31349,446,4736,12278,13868,270.386055466013,3.84676323767399,40.8481405686637,105.898114421886,119.611911614491,290916,74712,198835,17372,2509.15913464387,644.39321751816,1714.95777659845,149.834015616306,2189,18.8801899714537,56725,8291,48424,49148,7040,42097,7571,1250,6322,489.25480864811,71.5101210842042,417.658437267097,423.902958756057,60.7202089534191,363.087874476148,65.3000997139681,10.7812871011042,54.5274376425448
"40","Oklahoma","Oklahoma",3878051,133523,16049,117474,3443.04394140252,413.841901511868,3029.20203989066,16049,180,1860,3073,10935,413.841901511868,4.64150677750241,47.9622367008582,79.2408351514717,281.971536733271,117474,29969,76744,10761,3029.20203989066,772.785092305387,1978.93220073692,277.484746848352,803,20.7062774574135,24307,4790,19518,20406,4294,16110,3903,495,3406,626.783918004173,123.515652579092,503.294051573845,526.19215167619,110.725722792196,415.414856586466,100.643338625511,12.7641436381316,87.8276226898512
"41","Oregon","Oregon",3970239,126031,9381,116650,3174.39327959853,236.283004625162,2938.11027497337,9381,79,1220,2197,5883,236.283004625162,1.98980464400254,30.7286286795329,55.3367190237162,148.177477476797,116650,17376,89578,9694,2938.11027497337,437.656272078331,2256.23696709442,244.166660999502,819,20.6284810561782,28739,4279,24458,24949,3890,21057,3785,385,3402,723.860704607456,107.776886983378,616.033442822964,628.400456496448,97.9789881667073,530.371093528626,95.3343111082229,9.69714921444276,85.6875366948942
"42","Pennsylvania","Pennsylvania",12787209,286777,40247,246530,2242.68642203314,314.744210405883,1927.94221162726,40247,610,3837,13535,22265,314.744210405883,4.77039203785596,30.0065479495956,105.847961036689,174.119309381742,246530,45647,187844,13039,1927.94221162726,356.973910413132,1468.99921632625,101.969084887875,1923,15.0384653914705,84546,21535,63013,73849,18317,55531,10699,3216,7481,661.176336446835,168.410479565948,492.78149751052,577.522428858401,143.244706487553,434.269902056031,83.669548218067,25.1501324487619,58.5037751396728
"44","Rhode Island","Rhode Island",1055173,25301,2319,22982,2397.80585742812,219.774387707039,2178.03146972108,2319,26,366,530,1398,219.774387707039,2.46405091866452,34.6862552396621,50.2287302650845,132.490122472808,22982,4830,16316,1836,2178.03146972108,457.744843736525,1546.28672265117,173.999903333387,158,14.9738478903459,4143,783,3360,3464,684,2779,679,98,580,392.637036770274,74.2058411274739,318.4311956428,328.287399317458,64.8234933987128,263.369134729566,64.3496374528158,9.28757653958166,54.9672897240547
"45","South Carolina","South Carolina",4832482,190802,23873,166929,3948.32303565745,494.011152033262,3454.31188362419,23873,323,2174,3988,17386,494.011152033262,6.68393591533295,44.9872343032007,82.5248805893121,359.773714625321,166929,36905,117140,12877,3454.31188362419,763.686238251896,2424.01316756069,266.467624711277,686,14.1956038325647,38228,7696,30532,33615,7036,26581,4611,659,3950,791.0634742147,159.255637165332,631.807837049367,695.605281095719,145.598059134002,550.048608561812,95.4168065188861,13.636884731283,81.7385351875082
"46","South Dakota","South Dakota",853175,18197,2699,15498,2132.85668239224,316.347759838251,1816.50892255399,2699,21,455,196,2027,316.347759838251,2.4613942040027,53.3302077533917,22.9730125706918,237.583145310165,15498,2715,11803,979,1816.50892255399,318.223107803206,1383.42075189732,114.74785360565,90,10.5488323028687,4696,932,3764,3663,852,2812,1031,75,952,550.414627714127,109.239018958596,441.175608755531,429.337474726756,99.8622791338236,329.592404840742,120.842734491751,8.79069358572391,111.583203914789
"47","Tennessee","Tennessee",6549352,239779,39837,199942,3661.1102899951,608.258649099942,3052.85164089516,39837,367,2583,7251,29636,608.258649099942,5.60360780730674,39.4390162568755,110.713243081148,452.502781954612,199942,46626,140714,12594,3052.85164089516,711.917759192054,2148.51789917537,192.293833038749,1079,16.4749123272043,62890,17452,45420,55699,15720,39956,7191,1730,5460,960.247670303871,266.469110226477,693.503723727172,850.450548390131,240.023745860659,610.075622748632,109.79712191374,26.4148269935713,83.3670262340458
"48","Texas","Texas",26956958,920307,109393,810914,3413.9868452516,405.806174420719,3008.18067083089,109393,1190,11583,30981,65637,405.806174420719,4.41444468622906,42.9684981517573,114.927656154674,243.488156193292,810914,167478,575163,68271,3008.18067083089,621.279300134681,2133.63466308031,253.25928838113,3827,14.1967057262173,161165,30587,130574,137356,27057,110301,23811,3528,20279,597.860485593367,113.46606690562,484.379580218213,509.538205312335,100.371117542269,409.174507004833,88.3296995157985,13.087530128585,75.22733091768
"49","Utah","Utah",2942902,89303,6247,83056,3034.52170680505,212.27346340449,2822.24824340056,6247,65,1454,1276,3447,212.27346340449,2.20870419742146,49.4070138930892,43.358562398612,117.129282592489,83056,11320,64614,7120,2822.24824340056,384.654330997091,2195.58789249523,241.938059779089,291,9.88819879153298,22115,2252,19861,17948,1985,15962,4165,266,3896,751.469128091931,76.5231054245096,674.87806253827,609.874199004928,67.4504281827937,542.389790757558,141.526968957852,9.03869717714012,132.386331586985
"50","Vermont","Vermont",626562,10147,637,9510,1619.47261404298,101.66591654138,1517.8066975016,637,10,117,71,439,101.66591654138,1.59601124868728,18.6733316096412,11.3316798656797,70.0648938173716,9510,2073,7250,187,1517.8066975016,330.853131852873,1157.10815529828,29.8454103504521,35,5.58603937040548,2062,498,1562,1905,467,1436,157,31,126,329.097519479317,79.4813601846266,249.296957044953,304.040142874927,74.533725313696,229.187215311494,25.0573766043903,4.94763487093057,20.1097417334597
"51","Virginia","Virginia",8326289,178426,16523,161903,2142.92345605587,198.443748469456,1944.47970758642,16523,351,2415,4293,9462,198.443748469456,4.21556350013794,29.0045180992396,51.5595843478409,113.640062217394,161903,23206,130974,7711,1944.47970758642,278.707597105986,1573.01770332497,92.6102853263921,862,10.3527513878031,42893,7036,35857,37974,6328,31646,4919,708,4211,515.151467838793,84.5034324415115,430.648035397282,456.073528074752,76.0002445267033,380.073283548049,59.0779397640413,8.50318791480815,50.5747518492332
"53","Washington","Washington",7061530,282115,19985,262130,3995.09737974632,283.012321692324,3712.08505805399,19985,178,2531,5643,11633,283.012321692324,2.52070018820284,35.8420908783224,79.911860460835,164.737670164964,262130,55374,176105,30652,3712.08505805399,784.164338323281,2493.86464406439,434.070236903334,1180,16.7102596746031,47318,8290,39028,41289,7336,33952,6028,952,5076,670.081412951584,117.396654832593,552.684758118991,584.703315003972,103.886834722787,480.802319044173,85.3639367105995,13.4814976357815,71.8824390748181
"54","West Virginia","West Virginia",1850326,38412,5327,33085,2075.95850677124,287.895214140643,1788.0632926306,5327,78,553,510,4183,287.895214140643,4.21547338144738,29.8866253838513,27.5627105710021,226.068271212748,33085,7810,23565,1715,1788.0632926306,422.087783450052,1273.55936197189,92.6863698613109,209,11.2953068810577,12927,2621,10305,12435,2542,9897,494,78,410,698.633646179106,141.650714522738,556.928887125836,672.043737157668,137.381196610759,534.878718669035,26.6979980825001,4.21547338144738,22.1582575178644
"55","Wisconsin","Wisconsin",5757564,133708,16339,117369,2322.30158448955,283.783211094136,2038.51837339542,16339,157,1419,5058,9704,283.783211094136,2.72684767377314,24.6458398030834,87.8496530824495,168.54350207831,117369,20969,86605,9797,2038.51837339542,364.199164785663,1504.19517698805,170.158768534748,553,9.60475645602897,46801,7864,38939,34788,6396,28390,12015,1466,10550,812.86113363221,136.585542079949,676.310328465302,604.213865447262,111.088647907344,493.090480626876,208.682005097989,25.4621572595632,183.237216294947
"56","Wyoming","Wyoming",584153,12337,1106,11231,2111.94669889567,189.333958740262,1922.6127401554,1106,16,165,53,872,189.333958740262,2.73900844470541,28.2460245860246,9.07296547308667,149.275960236445,11231,1652,8992,586,1922.6127401554,282.802621915834,1539.32274592444,100.316184287336,39,6.67633308396944,3596,514,3083,2893,473,2419,705,41,664,615.592147947541,87.9906462861613,527.772689689174,495.246964408297,80.9719371466037,414.103839233899,120.687559594832,7.01870913955762,113.668850455275
