Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"32","Nevada","Nevada","00","32",,3080156,3310,769,2541,107.462089582476,24.9662679422731,82.4958216402026,769,8,123,0,51,587,24.9662679422731,0.259727104731059,3.99330423524003,0,1.6557602926605,19.0574763096415,2541,639,1524,378,82.4958216402026,20.7457024903933,49.4780134512667,12.2721056985425,20,0.649317761827648,42,27,10,4,1,2,1.36356729983806,0.876578978467324,0.324658880913824,0.12986355236553,0.0324658880913824,0.0649317761827648
"33","New Hampshire","New Hampshire","00","33",,1359711,80,12,68,5.88360320685793,0.882540481028689,5.00106272582924,12,0,6,0,0,6,0.882540481028689,0,0.441270240514345,0,0,0.441270240514345,68,10,53,5,5.00106272582924,0.735450400857241,3.89788712454338,0.367725200428621,1,0.0735450400857241,16,8,5,3,0,0,1.17672064137159,0.588360320685793,0.367725200428621,0.220635120257172,0,0
"34","New Jersey","New Jersey","00","34",,8882190,395,145,250,4.44710144682787,1.63248027794947,2.8146211688784,145,0,11,0,35,99,1.63248027794947,0,0.123843331430649,0,0.394046963642975,1.11458998287584,250,12,226,12,2.8146211688784,0.135101816106163,2.54441753666607,0.135101816106163,8,0.0900678774041087,568,252,250,65,1,13,6.39481929569172,2.83713813822942,2.8146211688784,0.731801503908383,0.0112584846755136,0.146360300781677
"35","New Mexico","New Mexico","00","35",,2096829,4775,1383,3392,227.724816854403,65.9567375308144,161.768079323588,1383,16,74,0,38,1255,65.9567375308144,0.763056977941454,3.52913852297922,0,1.81226032261095,59.8522817072828,3392,1408,1528,456,161.768079323588,67.1490140588479,72.8719413934088,21.7471238713314,,,47,30,8,8,1,3,2.24147987270302,1.43073183364023,0.381528488970727,0.381528488970727,0.0476910611213408,0.143073183364023
"36","New York","New York","00","36",,19453561,23847,2597,21250,122.58424048944,13.3497409548822,109.234499534558,2597,15,476,0,482,1624,13.3497409548822,0.0771067055538058,2.4468527895741,0,2.47769547179563,8.34808598795871,21250,2366,17986,898,109.234499534558,12.1622976893536,92.4560804060501,4.61612143915451,91,0.467780680359755,595,164,357,73,1,16,3.05856598696763,0.843033314054944,1.83513959218058,0.375252633695188,0.00514044703692039,0.0822471525907262
"37","North Carolina","North Carolina","00","37",,10488084,46266,6032,40234,441.129190040812,57.512887959326,383.616302081486,6032,124,706,0,622,4580,57.512887959326,1.18229411587474,6.73144875651263,0,5.93053983930716,43.6686052476315,40234,13552,23321,3361,383.616302081486,129.213305309149,222.357105454152,32.0458913181855,421,4.01407921599407,211,132,42,30,7,0,2.0118069229804,1.25857115560859,0.400454458602734,0.286038899001953,0.0667424097671224,0
"38","North Dakota","North Dakota","00","38",,762062,2178,229,1949,285.803517299117,30.0500484212571,255.75346887786,229,4,65,0,4,156,30.0500484212571,0.524891675480473,8.52948972655768,0,0.524891675480473,20.4707753437384,1949,502,1148,299,255.75346887786,65.8739052727993,150.643910862896,39.2356527421653,19,2.49323545853225,18,14,1,3,0,0,2.36201253966213,1.83712086418165,0.131222918870118,0.393668756610355,0,0
"39","Ohio","Ohio","00","39",,11689100,26685,2379,24306,228.289603134544,20.3522940175035,207.937309117041,2379,44,678,0,296,1705,20.3522940175035,0.376419057070262,5.80027547030995,0,2.53227365665449,14.5862384614727,24306,5603,16908,1795,207.937309117041,47.93354492647,144.647577657818,15.3561865327527,151,1.29180176403658,361,216,30,60,55,30,3.0883472636901,1.8478753710722,0.256649357093361,0.513298714186721,0.470523821337828,0.256649357093361
"40","Oklahoma","Oklahoma","00","40",,3956971,14557,1952,12605,367.882402979451,49.3306622666681,318.551740712783,1952,46,331,0,81,1494,49.3306622666681,1.16250536079238,8.36498422657128,0,2.04702030922137,37.7561523700831,12605,4547,6178,1880,318.551740712783,114.91112772876,156.129524325551,47.5110886584713,190,4.80165257718593,28,14,5,8,1,0,0.70761195874319,0.353805979371595,0.126359278346998,0.202174845355197,0.0252718556693997,0
"41","Oregon","Oregon","00","41",,4217737,20571,1839,18732,487.726000933676,43.6015806580638,444.124420275612,1839,41,360,0,236,1290,43.6015806580638,0.972085267526164,8.5353828368151,0,5.59541763746768,30.5851218319208,18732,3318,12830,2584,444.124420275612,78.6677784793125,304.191560545383,61.2650812509173,143,3.39044373795711,174,116,29,27,2,8,4.12543503779396,2.75029002519598,0.687572506298994,0.640153712761132,0.0474187935378617,0.189675174151447
"42","Pennsylvania","Pennsylvania","00","42",,12801989,16,14,2,0.124980579189687,0.109358006790976,0.0156225723987109,14,0,0,0,0,14,0.109358006790976,0,0,0,0,0.109358006790976,2,0,2,0,0.0156225723987109,0,0.0156225723987109,0,0,0,41,28,9,4,0,0,0.320262734173573,0.218716013581952,0.0703015757941989,0.0312451447974217,0,0
"44","Rhode Island","Rhode Island","00","44",,1059361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,8,0,0,1.60474097120812,0.377586110872498,0.471982638590622,0.755172221744995,0,0
"45","South Carolina","South Carolina","00","45",,5148714,77632,12998,64634,1507.79398506112,252.45138883224,1255.34259622888,12998,220,1198,0,1352,10228,252.45138883224,4.27291164356769,23.2679461317914,0,26.2589842822887,198.651546774593,64634,14642,42588,7404,1255.34259622888,284.381692205083,827.158004892096,143.802899131706,343,6.66185769883509,64,36,20,7,1,4,1.24302884176515,0.699203723492896,0.388446513051609,0.135956279568063,0.0194223256525804,0.0776893026103217
"46","South Dakota","South Dakota","00","46",,884659,2494,432,2062,281.916535071706,48.8323749602954,233.08416011141,432,4,114,0,6,308,48.8323749602954,0.452151620002736,12.886321170078,0,0.678227430004103,34.8156747402106,2062,660,1156,246,233.08416011141,74.6050173004514,130.671818180791,27.8073246301682,17,1.92164438501163,20,13,3,4,0,0,2.26075810001368,1.46949276500889,0.339113715002052,0.452151620002736,0,0
"47","Tennessee","Tennessee","00","47",,6829174,39118,7040,32078,572.80719454505,103.08713762455,469.7200569205,7040,68,655,0,304,6013,103.08713762455,0.995728033873496,9.59120385569324,0,4.45149003378739,88.0487157011961,32078,8067,19470,4541,469.7200569205,118.125559547904,285.100364992897,66.4941323796992,210,3.0750424575505,114,91,12,10,1,3,1.66930876267027,1.33251839827188,0.175716711860029,0.146430593216691,0.0146430593216691,0.0439291779650072
"48","Texas","Texas","00","48",,28995881,119826,18111,101715,413.25179945386,62.4605956963336,350.791203757527,18111,255,3030,0,3170,11656,62.4605956963336,0.879435254959144,10.4497600883381,0,10.9325872871392,40.1988130658972,101715,22554,66540,12621,350.791203757527,77.783461726857,229.480870058751,43.526871971919,399,1.37605751658313,434,300,44,71,19,25,1.49676431628341,1.03462971171664,0.151745691051774,0.244862365106271,0.0655265484087205,0.0862191426430533
"49","Utah","Utah","00","49",,3205958,4195,581,3614,130.850123426445,18.1225081551287,112.727615271317,581,6,185,0,23,367,18.1225081551287,0.187151547213033,5.77050603906851,0,0.717414264316625,11.4474363045305,3614,749,2542,347,112.727615271317,23.3627514770936,79.2898721692549,10.8235978138204,17,0.530262717103593,18,12,3,3,0,0,0.561454641639098,0.374303094426065,0.0935757736065164,0.0935757736065164,0,0
"50","Vermont","Vermont","00","50",,623989,316,34,282,50.6419183671507,5.44881400152887,45.1931043656218,34,0,10,0,1,23,5.44881400152887,0,1.60259235339085,0,0.160259235339084,3.68596241279894,282,54,221,7,45.1931043656218,8.65399870831056,35.4172910099377,1.12181464737359,0,0,32,18,4,9,1,1,5.1282955308507,2.88466623610352,0.641036941356338,1.44233311805176,0.160259235339084,0.160259235339084
"51","Virginia","Virginia","00","51",,8535519,26148,3587,22561,306.343410400703,42.0243924241748,264.319017976528,3587,90,966,0,323,2208,42.0243924241748,1.05441742909834,11.3174137389888,0,3.78418699554181,25.8683742605458,22561,3294,17635,1632,264.319017976528,38.5916779049991,206.607237357213,19.1201027143165,188,2.2025608518943,159,102,27,27,3,4,1.86280412474039,1.19500641964478,0.316325228729501,0.316325228729501,0.0351472476366112,0.0468629968488149
"53","Washington","Washington","00","53",,7614893,37829,4517,33312,496.776514128301,59.3179707186956,437.458543409605,4517,56,787,0,600,3074,59.3179707186956,0.735401009574265,10.3350106166955,0,7.87929653115283,40.368262561273,33312,8218,20417,4677,437.458543409605,107.920098155023,268.119328794246,61.4191164603363,255,3.34870102573995,531,331,76,116,8,25,6.97317743007026,4.34674525301931,0.998044227279359,1.52333066268955,0.105057287082038,0.328304022131368
"54","West Virginia","West Virginia","00","54",,1792147,5808,1532,4276,324.080558123859,85.4840590643513,238.596499059508,1532,25,109,0,48,1350,85.4840590643513,1.39497485418328,6.08209036423909,0,2.67835172003189,75.328642125897,4276,1304,2487,485,238.596499059508,72.7618883941998,138.772098494153,27.0625121711556,50,2.78994970836656,29,18,6,3,2,2,1.6181708308526,1.00438189501196,0.334793965003987,0.167396982501993,0.111597988334662,0.111597988334662
"55","Wisconsin","Wisconsin","00","55",,5822434,11852,1739,10113,203.557481287036,29.8672342185416,173.690247068494,1739,18,385,0,57,1279,29.8672342185416,0.309149060341431,6.61235490174728,0,0.978972024414532,21.9667582320384,10113,2469,6960,684,173.690247068494,42.4049461101663,119.537636665353,11.7476642929744,45,0.772872650853578,66,39,18,5,4,8,1.13354655458525,0.669822964073101,0.309149060341431,0.0858747389837309,0.0686997911869847,0.137399582373969
"56","Wyoming","Wyoming","00","56",,578759,1360,242,1118,234.985546661045,41.8136046264507,193.171942034595,242,0,49,0,2,191,41.8136046264507,0,8.46639101940531,0,0.34556698038389,33.0016466266615,1118,220,795,103,193.171942034595,38.0123678422279,137.362874702596,17.7966994897704,5,0.863917450959726,5,4,0,1,0,0,0.863917450959726,0.691133960767781,0,0.172783490191945,0,0
